date,source,sessions,users
2023-03-01,Organic Search,19,15
2023-03-01,Direct,9,7
2023-03-01,Social (Instagram),7,6
2023-03-01,Referral (Planity),5,4
2023-03-02,Organic Search,11,8
2023-03-02,Direct,8,7
2023-03-02,Social (Instagram),5,4
2023-03-02,Referral (Planity),4,4
2023-03-03,Organic Search,10,8
2023-03-03,Direct,6,5
2023-03-03,Social (Instagram),4,3
2023-03-03,Referral (Planity),3,2
2023-03-04,Organic Search,12,10
2023-03-04,Direct,5,4
2023-03-04,Social (Instagram),5,4
2023-03-04,Referral (Planity),4,3
2023-03-05,Organic Search,9,7
2023-03-05,Direct,6,5
2023-03-05,Social (Instagram),5,4
2023-03-05,Referral (Planity),2,2
2023-03-06,Organic Search,10,8
2023-03-06,Direct,5,4
2023-03-06,Social (Instagram),4,3
2023-03-06,Referral (Planity),3,3
2023-03-07,Organic Search,15,12
2023-03-07,Direct,9,7
2023-03-07,Social (Instagram),6,5
2023-03-07,Referral (Planity),5,4
2023-03-08,Organic Search,14,11
2023-03-08,Direct,10,8
2023-03-08,Social (Instagram),7,5
2023-03-08,Referral (Planity),5,4
2023-03-09,Organic Search,6,5
2023-03-09,Direct,5,4
2023-03-09,Social (Instagram),3,2
2023-03-09,Referral (Planity),2,2
2023-03-10,Organic Search,12,10
2023-03-10,Direct,8,7
2023-03-10,Social (Instagram),6,5
2023-03-10,Referral (Planity),3,2
2023-03-11,Organic Search,10,9
2023-03-11,Direct,6,5
2023-03-11,Social (Instagram),4,4
2023-03-11,Referral (Planity),2,2
2023-03-12,Organic Search,7,6
2023-03-12,Direct,3,2
2023-03-12,Social (Instagram),2,2
2023-03-12,Referral (Planity),2,2
2023-03-13,Organic Search,13,11
2023-03-13,Direct,9,7
2023-03-13,Social (Instagram),5,4
2023-03-13,Referral (Planity),4,3
2023-03-14,Organic Search,12,10
2023-03-14,Direct,6,5
2023-03-14,Social (Instagram),5,4
2023-03-14,Referral (Planity),3,2
2023-03-15,Organic Search,7,5
2023-03-15,Direct,4,3
2023-03-15,Social (Instagram),3,2
2023-03-15,Referral (Planity),1,1
2023-03-16,Organic Search,12,9
2023-03-16,Direct,7,6
2023-03-16,Social (Instagram),4,3
2023-03-16,Referral (Planity),3,2
2023-03-17,Organic Search,10,9
2023-03-17,Direct,7,6
2023-03-17,Social (Instagram),4,4
2023-03-17,Referral (Planity),3,3
2023-03-18,Organic Search,9,7
2023-03-18,Direct,6,5
2023-03-18,Social (Instagram),3,3
2023-03-18,Referral (Planity),3,2
2023-03-19,Organic Search,5,4
2023-03-19,Direct,3,3
2023-03-19,Social (Instagram),2,2
2023-03-19,Referral (Planity),1,1
2023-03-20,Organic Search,7,6
2023-03-20,Direct,4,3
2023-03-20,Social (Instagram),3,2
2023-03-20,Referral (Planity),2,2
2023-03-21,Organic Search,15,13
2023-03-21,Direct,7,6
2023-03-21,Social (Instagram),5,4
2023-03-21,Referral (Planity),3,2
2023-03-22,Organic Search,22,18
2023-03-22,Direct,11,9
2023-03-22,Social (Instagram),8,6
2023-03-22,Referral (Planity),6,5
2023-03-23,Organic Search,14,12
2023-03-23,Direct,8,6
2023-03-23,Social (Instagram),6,5
2023-03-23,Referral (Planity),5,4
2023-03-24,Organic Search,16,12
2023-03-24,Direct,10,8
2023-03-24,Social (Instagram),5,4
2023-03-24,Referral (Planity),4,3
2023-03-25,Organic Search,13,10
2023-03-25,Direct,7,5
2023-03-25,Social (Instagram),5,4
2023-03-25,Referral (Planity),4,3
2023-03-26,Organic Search,12,10
2023-03-26,Direct,5,4
2023-03-26,Social (Instagram),3,3
2023-03-26,Referral (Planity),3,2
2023-03-27,Organic Search,27,21
2023-03-27,Direct,15,12
2023-03-27,Social (Instagram),11,9
2023-03-27,Referral (Planity),6,5
2023-03-28,Organic Search,19,15
2023-03-28,Direct,13,11
2023-03-28,Social (Instagram),8,7
2023-03-28,Referral (Planity),4,3
2023-03-29,Organic Search,8,7
2023-03-29,Direct,5,4
2023-03-29,Social (Instagram),4,3
2023-03-29,Referral (Planity),2,2
2023-03-30,Organic Search,11,9
2023-03-30,Direct,7,5
2023-03-30,Social (Instagram),5,4
2023-03-30,Referral (Planity),4,3
2023-03-31,Organic Search,10,9
2023-03-31,Direct,8,6
2023-03-31,Social (Instagram),3,3
2023-03-31,Referral (Planity),3,2
2023-04-01,Organic Search,14,11
2023-04-01,Direct,7,6
2023-04-01,Social (Instagram),6,5
2023-04-01,Referral (Planity),5,4
2023-04-02,Organic Search,13,10
2023-04-02,Direct,7,6
2023-04-02,Social (Instagram),5,4
2023-04-02,Referral (Planity),4,3
2023-04-03,Organic Search,10,8
2023-04-03,Direct,5,4
2023-04-03,Social (Instagram),4,3
2023-04-03,Referral (Planity),3,3
2023-04-04,Organic Search,16,12
2023-04-04,Direct,10,9
2023-04-04,Social (Instagram),7,6
2023-04-04,Referral (Planity),5,4
2023-04-05,Organic Search,17,15
2023-04-05,Direct,10,8
2023-04-05,Social (Instagram),6,5
2023-04-05,Referral (Planity),4,3
2023-04-06,Organic Search,12,10
2023-04-06,Direct,6,5
2023-04-06,Social (Instagram),5,4
2023-04-06,Referral (Planity),3,2
2023-04-07,Organic Search,9,8
2023-04-07,Direct,5,4
2023-04-07,Social (Instagram),4,3
2023-04-07,Referral (Planity),3,2
2023-04-08,Organic Search,6,5
2023-04-08,Direct,4,3
2023-04-08,Social (Instagram),2,2
2023-04-08,Referral (Planity),2,2
2023-04-09,Organic Search,8,6
2023-04-09,Direct,5,4
2023-04-09,Social (Instagram),3,2
2023-04-09,Referral (Planity),1,1
2023-04-10,Organic Search,15,12
2023-04-10,Direct,10,9
2023-04-10,Social (Instagram),6,5
2023-04-10,Referral (Planity),4,3
2023-04-11,Organic Search,12,10
2023-04-11,Direct,7,6
2023-04-11,Social (Instagram),5,4
2023-04-11,Referral (Planity),3,2
2023-04-12,Organic Search,14,11
2023-04-12,Direct,8,6
2023-04-12,Social (Instagram),6,5
2023-04-12,Referral (Planity),3,3
2023-04-13,Organic Search,16,14
2023-04-13,Direct,10,9
2023-04-13,Social (Instagram),5,4
2023-04-13,Referral (Planity),4,4
2023-04-14,Organic Search,13,11
2023-04-14,Direct,7,6
2023-04-14,Social (Instagram),6,5
2023-04-14,Referral (Planity),4,3
2023-04-15,Organic Search,8,7
2023-04-15,Direct,3,3
2023-04-15,Social (Instagram),3,2
2023-04-15,Referral (Planity),2,2
2023-04-16,Organic Search,7,6
2023-04-16,Direct,4,3
2023-04-16,Social (Instagram),2,2
2023-04-16,Referral (Planity),2,2
2023-04-17,Organic Search,13,11
2023-04-17,Direct,9,7
2023-04-17,Social (Instagram),5,4
2023-04-17,Referral (Planity),3,3
2023-04-18,Organic Search,13,11
2023-04-18,Direct,7,5
2023-04-18,Social (Instagram),6,5
2023-04-18,Referral (Planity),4,3
2023-04-19,Organic Search,19,15
2023-04-19,Direct,9,7
2023-04-19,Social (Instagram),7,6
2023-04-19,Referral (Planity),4,3
2023-04-20,Organic Search,18,16
2023-04-20,Direct,10,8
2023-04-20,Social (Instagram),6,5
2023-04-20,Referral (Planity),6,5
2023-04-21,Organic Search,11,10
2023-04-21,Direct,6,5
2023-04-21,Social (Instagram),4,4
2023-04-21,Referral (Planity),3,3
2023-04-22,Organic Search,11,8
2023-04-22,Direct,7,5
2023-04-22,Social (Instagram),6,5
2023-04-22,Referral (Planity),3,3
2023-04-23,Organic Search,11,9
2023-04-23,Direct,6,5
2023-04-23,Social (Instagram),4,4
2023-04-23,Referral (Planity),2,2
2023-04-24,Organic Search,4,3
2023-04-24,Direct,2,2
2023-04-24,Social (Instagram),2,2
2023-04-24,Referral (Planity),1,1
2023-04-25,Organic Search,17,15
2023-04-25,Direct,9,8
2023-04-25,Social (Instagram),7,6
2023-04-25,Referral (Planity),4,3
2023-04-26,Organic Search,15,12
2023-04-26,Direct,8,7
2023-04-26,Social (Instagram),6,5
2023-04-26,Referral (Planity),3,2
2023-04-27,Organic Search,22,18
2023-04-27,Direct,12,10
2023-04-27,Social (Instagram),8,7
2023-04-27,Referral (Planity),4,3
2023-04-28,Organic Search,16,13
2023-04-28,Direct,9,8
2023-04-28,Social (Instagram),6,5
2023-04-28,Referral (Planity),5,4
2023-04-29,Organic Search,11,10
2023-04-29,Direct,6,5
2023-04-29,Social (Instagram),5,4
2023-04-29,Referral (Planity),2,2
2023-04-30,Organic Search,9,8
2023-04-30,Direct,5,4
2023-04-30,Social (Instagram),3,2
2023-04-30,Referral (Planity),2,2
2023-05-01,Organic Search,20,15
2023-05-01,Direct,12,9
2023-05-01,Social (Instagram),7,5
2023-05-01,Referral (Planity),5,4
2023-05-02,Organic Search,16,13
2023-05-02,Direct,8,6
2023-05-02,Social (Instagram),6,5
2023-05-02,Referral (Planity),4,3
2023-05-03,Organic Search,24,21
2023-05-03,Direct,12,9
2023-05-03,Social (Instagram),11,9
2023-05-03,Referral (Planity),5,4
2023-05-04,Organic Search,17,14
2023-05-04,Direct,10,8
2023-05-04,Social (Instagram),7,6
2023-05-04,Referral (Planity),5,4
2023-05-05,Organic Search,20,15
2023-05-05,Direct,12,11
2023-05-05,Social (Instagram),7,6
2023-05-05,Referral (Planity),6,5
2023-05-06,Organic Search,8,6
2023-05-06,Direct,5,4
2023-05-06,Social (Instagram),3,2
2023-05-06,Referral (Planity),3,2
2023-05-07,Organic Search,10,8
2023-05-07,Direct,5,4
2023-05-07,Social (Instagram),4,3
2023-05-07,Referral (Planity),3,3
2023-05-08,Organic Search,30,24
2023-05-08,Direct,17,13
2023-05-08,Social (Instagram),13,11
2023-05-08,Referral (Planity),8,7
2023-05-09,Organic Search,14,12
2023-05-09,Direct,9,8
2023-05-09,Social (Instagram),4,3
2023-05-09,Referral (Planity),3,2
2023-05-10,Organic Search,14,12
2023-05-10,Direct,8,6
2023-05-10,Social (Instagram),6,5
2023-05-10,Referral (Planity),3,2
2023-05-11,Organic Search,20,17
2023-05-11,Direct,12,11
2023-05-11,Social (Instagram),8,6
2023-05-11,Referral (Planity),5,4
2023-05-12,Organic Search,13,10
2023-05-12,Direct,8,6
2023-05-12,Social (Instagram),5,4
2023-05-12,Referral (Planity),4,3
2023-05-13,Organic Search,15,13
2023-05-13,Direct,9,7
2023-05-13,Social (Instagram),7,5
2023-05-13,Referral (Planity),4,3
2023-05-14,Organic Search,14,12
2023-05-14,Direct,8,7
2023-05-14,Social (Instagram),5,4
2023-05-14,Referral (Planity),4,4
2023-05-15,Organic Search,18,14
2023-05-15,Direct,10,9
2023-05-15,Social (Instagram),6,5
2023-05-15,Referral (Planity),5,4
2023-05-16,Organic Search,17,15
2023-05-16,Direct,11,9
2023-05-16,Social (Instagram),6,5
2023-05-16,Referral (Planity),6,5
2023-05-17,Organic Search,17,14
2023-05-17,Direct,8,6
2023-05-17,Social (Instagram),8,6
2023-05-17,Referral (Planity),5,4
2023-05-18,Organic Search,25,22
2023-05-18,Direct,13,10
2023-05-18,Social (Instagram),9,7
2023-05-18,Referral (Planity),6,5
2023-05-19,Organic Search,20,16
2023-05-19,Direct,13,11
2023-05-19,Social (Instagram),10,8
2023-05-19,Referral (Planity),5,4
2023-05-20,Organic Search,12,10
2023-05-20,Direct,8,6
2023-05-20,Social (Instagram),4,4
